Model,elpd_loo,se_elpd_loo,p_loo,elpd_waic,se_elpd_waic,p_waic,idata
horseshoe,-167.18652194648092,13.902918773959081,8.722643153273054,-167.1546429695198,13.899864811559766,8.690764176311953,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
horseshoe_regularised,-167.570361299515,12.820822846434854,7.3861551213342125,-167.54577202675154,12.818771482874377,7.361565848570708,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
cauchy,-167.7611621176256,13.939598942573586,9.412914025678788,-167.73249087345812,13.937605126867064,9.384242781511333,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
laplace,-168.43218470366816,13.832132185947723,10.003154153400828,-168.3960016076347,13.829239021074724,9.966971057367353,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
normal,-169.39232332124385,14.597536735163425,11.347606832082135,-169.35439733572875,14.595103925403185,11.309680846567028,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
